"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Gerard Debreu","for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium","Debreu","Gerard","1","1921-07-04","1983","61","Calais","2004-12-31","false","economics","France","male","FR","Berkeley, CA","University of California","USA"
"William Golding","for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today","Golding","William","1","1911-09-19","1983","71","St. Columb Minor","1993-06-19","false","literature","United Kingdom","male","GB","","none",""
"Barbara McClintock","for her discovery of mobile genetic elements","McClintock","Barbara","1","1902-06-16","1983","80","Hartford, CT","1992-09-02","false","medicine","USA","female","US","Cold Spring Harbor, NY","Cold Spring Harbor Laboratory","USA"
"Lech Walesa","","Walesa","Lech","1","1943-09-29","1983","39","Popowo","0000-00-00","true","peace","Poland","male","PL","","none",""
"William Alfred Fowler","for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe","Fowler","William Alfred","2","1911-08-09","1983","71","Pittsburgh, PA","1995-03-14","false","physics","USA","male","US","Pasadena, CA","Caltech","USA"
"Subramanyan Chandrasekhar","for his theoretical studies of the physical processes of importance to the structure and evolution of the stars","Chandrasekhar","Subramanyan","2","1910-10-19","1983","72","Lahore","1995-08-21","false","physics","India (now Pakistan)","male","PK","Chicago, IL","University of Chicago","USA"
"Robert Bruce Merrifield","for his development of methodology for chemical synthesis on a solid matrix","Merrifield","Robert Bruce","1","1921-07-15","1984","62","Fort Worth, TX","2006-05-14","false","chemistry","USA","male","US","New York, NY","Rockefeller","USA"
"Richard Stone","for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis","Stone","Richard","1","1913-08-30","1984","70","London","1991-12-06","false","economics","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Jaroslav Seifert","for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man","Seifert","Jaroslav","1","1901-09-23","1984","82","Prague","1986-01-10","false","literature","Austria-Hungary (now Czech Republic)","male","CZ","","none",""
"Georges J.F. Köhler","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies","Köhler","Georges J.F.","3","1946-04-17","1984","37","Munich","1995-03-01","false","medicine","Germany","male","DE","Basel","Basel Institute for Immunology","Switzerland"
"Niels K. Jerne","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies","Jerne","Niels K.","3","1911-12-23","1984","72","London","1994-10-07","false","medicine","United Kingdom","male","GB","Basel","Basel Institute for Immunology","Switzerland"
"César Milstein","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies","Milstein","César","3","1927-10-08","1984","56","Bahia Blanca","2002-03-24","false","medicine","Argentina","male","AR","Cambridge","MRC Laboratory of Molecular Biology","United Kingdom"
"Desmond Mpilo Tutu","","Tutu","Desmond Mpilo","1","1931-10-07","1984","52","Klerksdorp","0000-00-00","true","peace","South Africa","male","ZA","","none",""
"Simon van der Meer","for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction","van der Meer","Simon","2","1925-11-24","1984","58","the Hague","2011-03-04","false","physics","the Netherlands","male","NL","Geneva","CERN","Switzerland"
"Carlo Rubbia","for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction","Rubbia","Carlo","2","1934-03-31","1984","49","Gorizia","0000-00-00","true","physics","Italy","male","IT","Geneva","CERN","Switzerland"
"Jerome Karle","for their outstanding achievements in the development of direct methods for the determination of crystal structures","Karle","Jerome","2","1918-06-18","1985","66","New York, NY","2013-06-06","false","chemistry","USA","male","US","Washington, DC","US Naval Research Laboratory","USA"
"Herbert A. Hauptman","for their outstanding achievements in the development of direct methods for the determination of crystal structures","Hauptman","Herbert A.","2","1917-02-14","1985","67","New York, NY","2011-10-23","false","chemistry","USA","male","US","Buffalo, NY","The Medical Foundation of Buffalo","USA"
"Franco Modigliani","for his pioneering analyses of saving and of financial markets","Modigliani","Franco","1","1918-06-18","1985","66","Rome","2003-09-25","false","economics","Italy","male","IT","Cambridge, MA","MIT","USA"
"Claude Simon","who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition","Simon","Claude","1","1913-10-10","1985","71","Tananarive (now Antananarivo)","2005-07-06","false","literature","Madagascar","male","MG","","none",""
"Joseph L. Goldstein","for their discoveries concerning the regulation of cholesterol metabolism","Goldstein","Joseph L.","2","1940-04-18","1985","44","Sumter, SC","0000-00-00","true","medicine","USA","male","US","Dallas, TX","University of Texas Southwestern Medical Center at Dallas","USA"
"Michael S. Brown","for their discoveries concerning the regulation of cholesterol metabolism","Brown","Michael S.","2","1941-04-13","1985","43","New York, NY","0000-00-00","true","medicine","USA","male","US","Dallas, TX","University of Texas Southwestern Medical Center at Dallas","USA"
"Klaus von Klitzing","for the discovery of the quantized Hall effect","von Klitzing","Klaus","1","1943-06-28","1985","41","Schroda","0000-00-00","true","physics","German-occupied Poland (now Poland)","male","PL","Stuttgart","Max-Planck-Institut für Festkörperforschung","Federal Republic of Germany"
"John C. Polanyi","for their contributions concerning the dynamics of chemical elementary processes","Polanyi","John C.","3","1929-01-23","1986","56","Berlin","0000-00-00","true","chemistry","Germany","male","DE","Toronto","University of Toronto","Canada"
"Dudley R. Herschbach","for their contributions concerning the dynamics of chemical elementary processes","Herschbach","Dudley R.","3","1932-06-18","1986","53","San José, CA","0000-00-00","true","chemistry","USA","male","US","Cambridge, MA","Harvard","USA"
"Yuan T. Lee","for their contributions concerning the dynamics of chemical elementary processes","Lee","Yuan T.","3","1936-11-19","1986","49","Hsinchu","0000-00-00","true","chemistry","Taiwan","male","TW","Berkeley, CA","University of California","USA"
"James M. Buchanan Jr.","for his development of the contractual and constitutional bases for the theory of economic and political decision-making","Buchanan Jr.","James M.","1","1919-10-03","1986","66","Murfreesboro, TN","2013-01-09","false","economics","USA","male","US","Fairfax, VA","Center for Study of Public Choice","USA"
"Wole Soyinka","who in a wide cultural perspective and with poetic overtones fashions the drama of existence","Soyinka","Wole","1","1934-07-13","1986","51","Abeokuta","0000-00-00","true","literature","Nigeria","male","NG","","none",""
"Stanley Cohen","for their discoveries of growth factors","Cohen","Stanley","2","1922-11-17","1986","63","Brooklyn, NY","0000-00-00","true","medicine","USA","male","US","Nashville, TN","Vanderbilt University School of Medicine","USA"
"Rita Levi-Montalcini","for their discoveries of growth factors","Levi-Montalcini","Rita","2","1909-04-22","1986","76","Turin","2012-12-30","false","medicine","Italy","female","IT","Rome","Institute of Cell Biology of the C.N.R.","Italy"
"Elie Wiesel","","Wiesel","Elie","1","1928-09-30","1986","57","Sighet","2016-07-02","false","peace","Romania","male","RO","","none",""
"Heinrich Rohrer","for their design of the scanning tunneling microscope","Rohrer","Heinrich","4","1933-06-06","1986","52","Buchs","2013-05-16","false","physics","Switzerland","male","CH","Rüschlikon","IBM Zurich Research Laboratory","Switzerland"
"Gerd Binnig","for their design of the scanning tunneling microscope","Binnig","Gerd","4","1947-07-20","1986","38","Frankfurt-on-the-Main","0000-00-00","true","physics","West Germany (now Germany)","male","DE","Rüschlikon","IBM Zurich Research Laboratory","Switzerland"
"Ernst Ruska","for his fundamental work in electron optics, and for the design of the first electron microscope","Ruska","Ernst","2","1906-12-25","1986","79","Heidelberg","1988-05-27","false","physics","Germany","male","DE","Berlin","Fritz-Haber-Institut der Max-Planck-Gesellschaft","Federal Republic of Germany"
"Jean-Marie Lehn","for their development and use of molecules with structure-specific interactions of high selectivity","Lehn","Jean-Marie","3","1939-09-30","1987","47","Rosheim","0000-00-00","true","chemistry","France","male","FR","Strasbourg","Université Louis Pasteur","France"
"Donald J. Cram","for their development and use of molecules with structure-specific interactions of high selectivity","Cram","Donald J.","3","1919-04-22","1987","67","Chester, VT","2001-06-17","false","chemistry","USA","male","US","Los Angeles, CA","University of California","USA"
"Charles J. Pedersen","for their development and use of molecules with structure-specific interactions of high selectivity","Pedersen","Charles J.","3","1904-10-03","1987","82","Pusan","1989-10-26","false","chemistry","Korea (now South Korea)","male","KR","Wilmington, DE","Du Pont","USA"
"Robert M. Solow","for his contributions to the theory of economic growth","Solow","Robert M.","1","1924-08-23","1987","62","Brooklyn, NY","0000-00-00","true","economics","USA","male","US","Cambridge, MA","MIT","USA"
"Joseph Brodsky","for an all-embracing authorship, imbued with clarity of thought and poetic intensity","Brodsky","Joseph","1","1940-05-24","1987","46","Leningrad (now Saint Petersburg)","1996-01-28","false","literature","USSR (now Russia)","male","RU","","none",""
